Country,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao People's Democratic Republic,(R),0,0,0,0,0,0,0,0,10285.44,14326.32,12731.1,15488.712,24120.258,21687.75,22766.502,16778.76,23465.916,23587.38,24336.624,26032.134,32661.696,30840.006,32430.138,32665.032,33149.544,32109.522,30619.548,32002.182,38806.98,37310.676
Ecuador,(A/R),90228.9,127429.44,71128.8,124140.42,142545.96,113293.98,119574.84,71439.78,72358.08,71860.992,51229.02,47570.82,34933.44,38447.4,46826.1,56118.042,62071.194,57024.168,46238.838,48797.094,51238.788,49524.864,49686.144,39932.7,38640.672,38669.556,38693.07,37414.464,29760.006,33536.112
Thailand,(R/A),45421.02,88136.16,75296.7,76512.06,83948.1,79033.56,84214.86,77584.56,54959.16,76370.268,101534.052,42870,43914,49594.02,53062.98,63837.906,49348.134,39025.248,40473.756,47687.79,49690.404,49876.53,36485.676,38280.228,50693.226,45718.848,32252.61,38293.95,28920.414,30994.698
Dominican Republic,(A/R),52803.72,19233.6,38268.9,36236.64,43780.2,53137.5,31130.88,56474.52,29195.52,36412.74,28022.28,23217.48,27311.88,21040.38,29440.74,18602.814,23200.026,27894.504,38701.77,21147.87,22689.372,29432.49,29305.842,25523.616,23817.246,23997.258,24732.51,24745.506,25854.582,24098.088
Democratic Republic of Congo,(R/A),94817.76,73794.12,70809.42,58815.66,77868.3,65889.3,47674.62,48673.02,44284.98,28629.24,21752.1,25391.04,20272.38,27063.6,21585.24,20171.88,22651.362,24955.722,25317.498,20750.232,18309.45,21392.292,20042.718,20825.22,20092.26,22236.738,16763.262,22902.078,23828.562,23436.084
Madagascar,(R),58946.82,55950.78,67301.04,26511.54,38482.32,47100.54,50940.48,37428.24,59507.94,25639.02,21729.708,8834.16,26727.3,26079.48,31299.6,35948.94,35190.6,36849.966,43661.304,27417.678,31783.398,35091.168,29982.564,35068.548,30087.264,24853.92,27165.396,24251.544,22762.608,22998.75
Rwanda,(A),32092.5,29029.8,38332.5,26617.5,1346.94,19744.68,17580.18,11605.32,13358.22,18436.5,16401.78,17730.6,19180.8,15944.52,26983.98,20220.642,21060.78,13442.676,22123.692,15536.466,19375.146,15064.26,15513.546,15463.692,14300.628,17557.752,13865.43,15867.144,22790.688,20879.04
Haiti,(A),23572.8,27801.12,29991.3,27041.82,27014.76,30836.7,25703.22,25909.08,26354.82,23941.62,25191,24158.4,22436.7,22430.52,21912.66,21360.384,21726.72,21564.684,21520.932,21035.01,20971.686,20951.694,20983.914,20712.588,20592.402,20451.882,20494.686,20542.812,20813.496,20798.97
Philippines,(R/A),58417.92,61108.92,55191.06,52491.3,52605.84,50975.4,53389.14,56128.32,40603.74,37305.804,20455.308,15760.92,15312.6,17561.46,21288.78,25940.232,26466.534,26736.678,35210.022,43825.086,11343.198,10779.666,10647.696,11140.92,11592.852,12484.356,12878.502,12199.074,12372.612,18392.064
Burundi,(A/R),29243.58,40031.94,37214.28,23601.24,39848.58,26038.8,24058.14,14987.1,29519.52,21033,29247.6,8638.92,27223.92,20271.48,26222.16,6198.9,29910,7971.36,24706.932,6696.78,21178.656,12247.968,24357.69,9793.062,14853,16167.456,11784.768,12126.474,12260.346,16348.128
Cameroon,(R/A),100949.04,103556.88,15622.56,40974.78,24333.42,39602.4,85931.34,53336.52,66836.4,82189.44,66788.58,41140.62,48047.7,54016.92,43642.92,52182.942,49089.984,47718.276,43494.024,54136.878,31628.082,40159.47,22261.182,24229.866,28986.306,23450.274,17512.566,22173.174,18575.442,16092.54
Guinea,(R),2667.6,5431.32,4580.46,3828.36,11901.42,6249.84,8858.28,10302.66,25275.96,21822.42,23999.52,14158.74,19693.74,21931.74,18966.96,31493.04,28376.862,19361.364,30286.914,29954.79,23187.654,23130.636,14013.27,6071.412,9906.462,17186.73,16196.556,13751.214,9177.222,10702.674
Cuba,(A),24852.72,18125.82,17054.22,17124.24,17058.9,17097.3,21951.9,18001.26,16797.18,19679.244,18746.07,17098.44,14346.3,13410.42,10799.04,5974.998,6291,6591.402,8007.138,5526.18,6509.82,6009.48,5288.52,6401.1,6085.26,5989.086,6156,6793.554,7659.06,7810.974
