Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2014","2014","hg/ha","7476","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2015","2015","hg/ha","6989","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2016","2016","hg/ha","6697","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2017","2017","hg/ha","6188","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","6466","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6362","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5419","Yield","656","Coffee, green","2020","2020","hg/ha","6827","Fc","Calculated data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1993","1993","tonnes","180000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1994","1994","tonnes","207000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1995","1995","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1996","1996","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1997","1997","tonnes","228000","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1998","1998","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","1999","1999","tonnes","217450","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2000","2000","tonnes","229980","*","Unofficial figure"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2001","2001","tonnes","157155","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2002","2002","tonnes","160000","F","FAO estimate"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2003","2003","tonnes","126188","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2004","2004","tonnes","156170","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2005","2005","tonnes","171631","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2006","2006","tonnes","241482","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2007","2007","tonnes","273400","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2008","2008","tonnes","260239","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2009","2009","tonnes","265469","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2010","2010","tonnes","370569","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2011","2011","tonnes","376823","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2012","2012","tonnes","275530","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2013","2013","tonnes","392006","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2014","2014","tonnes","419980","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2015","2015","tonnes","457014","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2016","2016","tonnes","469091","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2017","2017","tonnes","449230","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2018","2018","tonnes","494574","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2019","2019","tonnes","482561","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","656","Coffee, green","2020","2020","tonnes","584790","","Official data"
