Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2011","2011","hg/ha","12568","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2012","2012","hg/ha","14327","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2013","2013","hg/ha","14215","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2014","2014","hg/ha","14036","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2015","2015","hg/ha","13387","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2016","2016","hg/ha","15148","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2017","2017","hg/ha","14894","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2018","2018","hg/ha","19060","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2019","2019","hg/ha","16500","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","2020","2020","hg/ha","19493","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1990","1990","tonnes","1464856","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1991","1991","tonnes","1520382","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1992","1992","tonnes","1294373","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1993","1993","tonnes","1278759","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1994","1994","tonnes","1307289","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1995","1995","tonnes","930135","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1996","1996","tonnes","1369196","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1997","1997","tonnes","1228513","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1998","1998","tonnes","1689366","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","1999","1999","tonnes","1631852","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2000","2000","tonnes","1903562","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2001","2001","tonnes","1819569","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2002","2002","tonnes","2610524","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2003","2003","tonnes","1987074","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2004","2004","tonnes","2465710","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2005","2005","tonnes","2140169","","Official data"
